Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/21/2022,74.11,74.58,73.91,73.94,1.01,+1.38%,2238,18439
12/20/2022,72.75,73.41,71.61,72.93,0.67,+0.93%,1128,17376
12/19/2022,72.21,73.04,72.21,72.26,0.55,+0.77%,480,17065
12/16/2022,72.59,72.59,71.64,71.71,-1.01,-1.39%,1339,17057
12/15/2022,73.24,73.95,72.17,72.72,-1.53,-2.06%,2912,16557
12/14/2022,73.77,74.25,73.77,74.25,0.93,+1.27%,1251,16411
12/13/2022,73.64,73.86,73.32,73.32,1.05,+1.45%,992,16448
12/12/2022,72.87,72.9,70.73,72.27,1.37,+1.93%,1652,16456
12/09/2022,71.11,71.47,70.76,70.9,0.05,+0.07%,1458,16280
12/08/2022,71.17,71.92,70.77,70.85,-0.56,-0.78%,2782,16342
12/07/2022,71.66,73.16,71.37,71.41,-1.66,-2.27%,3069,16239
12/06/2022,74.83,75.49,73.07,73.07,-2.22,-2.95%,3988,16387
12/05/2022,77.26,78.35,75.29,75.29,-1.78,-2.31%,3234,16532
12/02/2022,77.07,77.07,76.84,77.07,0.09,+0.12%,5072,16490
12/01/2022,76.98,77.39,76.96,76.98,-0.03,-0.04%,1303,17367
11/30/2022,77.01,77.01,77.01,77.01,2.18,+2.91%,771,18143
11/29/2022,74.83,75.15,73.78,74.83,0.81,+1.09%,918,18420
11/28/2022,74.02,74.02,72.05,74.02,0.58,+0.79%,268,18856
11/25/2022,73.44,74.55,73.44,73.44,-0.93,-1.25%,691,18916
11/23/2022,74.37,74.37,73.87,74.37,-0.9,-1.20%,527,18905
11/22/2022,75.27,75.39,75.27,75.27,0.28,+0.37%,1912,19011
11/21/2022,74.99,74.99,72.23,74.99,0.9,+1.21%,4266,17806
11/18/2022,73.65,74.98,73.39,74.09,-0.56,-0.75%,480,15786
11/17/2022,74.73,74.73,74.49,74.65,-1.6,-2.10%,517,15786
11/16/2022,76.35,76.35,75.58,76.25,-1.42,-1.83%,916,15874
11/15/2022,77.67,78.28,77.67,77.67,1.38,+1.81%,83,15253
